arm,iv,seed,task,mean,q10,q50,q90,within,between,star,star_W,bias
LR,none,1,71,-3.430208286073501,-6.326298560486073,-3.854917059569005,-0.3362073244809779,6.1366820620426505,6.5513260762465855,-3.3142419896523254,-3.2501632724438583,-0.0640787172084674
LR,none,1,72,-3.199089770486487,-6.4254232739055,-3.318640476946712,0.0001843038750882,6.121448008824628,6.853141557436199,-3.2510482581805284,-3.189046382297822,-0.0620018758827063
LR,none,1,73,-3.3422803067611038,-6.533607826120589,-3.303162255589457,-0.4224676194626011,6.151812600923347,7.369304445010323,-3.278141285058155,-3.2117816765995677,-0.0663596084585879
LR,none,1,74,-3.224434413449125,-6.373912870010375,-3.4130889968855955,0.1666069261346704,6.241055369571081,6.982746945675928,-3.3022620235916134,-3.234044200900537,-0.0682178226910764
LR,none,1,75,-3.4153060446893218,-6.285604136627455,-3.4931210496598104,-0.2223590019593014,6.390954843841891,6.47200077888427,-3.287394307513446,-3.220327141381992,-0.0670671661314554
LR,none,1,76,-3.425114684120272,-6.156607684698902,-3.4947289361453606,-0.3575971447049935,6.442001726892872,6.069405314638405,-3.3828032988504964,-3.3124263264684237,-0.0703769723820732
LR,none,1,77,-3.483306829990635,-6.276905267991845,-3.777236741765731,0.1549507442683162,6.153668883624333,6.720157289574425,-3.396436704739305,-3.3272208023714365,-0.0692159023678686
LR,none,1,78,-3.5430421128024534,-6.332976028540196,-3.707540652525593,-0.3636961572427967,6.135065742767622,6.840978861561245,-3.4601678887436464,-3.391068025643082,-0.0690998631005641
LR,none,1,79,-3.2189656551029167,-5.62649552662426,-3.489924576998699,0.0113311865804408,6.321974877947546,6.098007784721367,-3.254868093065328,-3.185970262690556,-0.0688978303747717
LR,none,1,80,-3.362908721750594,-6.355838292805185,-3.938388807969744,0.0780578684153299,6.198398504870173,6.655551093396671,-3.2153434195913184,-3.143939733717034,-0.0714036858742838
LR,none,1,81,-3.140373251882684,-6.104709983618478,-3.5661402012456707,0.2630792863610214,6.446919556617959,7.048740201316933,-3.248202102293864,-3.172879550069476,-0.0753225522243883
LR,none,1,82,-3.420257496900401,-5.912553274894656,-3.6764063320929994,-0.6282922825290113,6.469786492935982,6.483001394893591,-3.3367962922465604,-3.256348412756467,-0.0804478794900933
LR,none,1,83,-3.644287190535507,-6.42832290149516,-4.348941154133538,-0.0913893502493482,6.812518980130314,6.595352801282302,-3.486862353754851,-3.402762110587365,-0.084100243167486
LR,none,1,84,-3.3745855875137227,-5.9555758320028245,-3.9106197408893353,0.2015788570701852,6.678993042525961,6.076296717024325,-3.566103124680662,-3.478533616468044,-0.0875695082126185
LR,none,1,85,-3.5688071421212184,-6.618614905906171,-3.937956965551008,0.1833245708437704,7.019146539176055,7.447532291291538,-3.70378005533008,-3.609889340081663,-0.0938907152484171
LR,none,1,86,-3.581533455204747,-6.387872089115566,-3.694367252759344,0.1377981294497428,6.956263846274647,7.243436288737863,-3.674842133507186,-3.5801531900782675,-0.0946889434289187
LR,none,1,87,-3.836852520726855,-6.842866053841911,-4.097580700169515,-0.0941582109690707,7.447800513893464,7.854467136232087,-3.714908570794496,-3.616526565326776,-0.0983820054677198
LR,none,1,88,-3.833464970249956,-7.529400378437918,-4.03217747479266,-0.2149404284524877,6.912735231313588,9.823889600055857,-3.762586247848391,-3.6607071155980666,-0.1018791322503239
LR,none,1,89,-3.7931589233935954,-7.246529950635391,-3.804081053193578,-0.2927012180020926,7.595790269388842,8.649354717097998,-3.696527844736909,-3.5927341865884115,-0.1037936581484973
LR,none,1,90,-3.746788527482522,-7.339988859005972,-3.9375061981050177,0.1036329815330779,7.347375695012205,8.79378472082546,-3.674970070626984,-3.5681737158372893,-0.1067963547896943
